Year,Kyn,Atvinnugrein,Value
2010,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2060
2011,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2250
2012,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2380
2013,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2520
2014,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2730
2015,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2890
2016,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3340
2017,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3530
2018,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3770
2019,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3830
2020,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4140
2008,Karl,Fræðslustarfsemi (P),2020
2009,Karl,Fræðslustarfsemi (P),2030
2010,Karl,Fræðslustarfsemi (P),2030
2011,Karl,Fræðslustarfsemi (P),2160
2012,Karl,Fræðslustarfsemi (P),2230
2013,Karl,Fræðslustarfsemi (P),2300
2014,Karl,Fræðslustarfsemi (P),2500
2015,Karl,Fræðslustarfsemi (P),2640
2016,Karl,Fræðslustarfsemi (P),2930
2017,Karl,Fræðslustarfsemi (P),3150
2018,Karl,Fræðslustarfsemi (P),3240
2019,Karl,Fræðslustarfsemi (P),3250
2020,Karl,Fræðslustarfsemi (P),3450
2008,Kona,Fræðslustarfsemi (P),1580
2009,Kona,Fræðslustarfsemi (P),1680
2010,Kona,Fræðslustarfsemi (P),1700
2011,Kona,Fræðslustarfsemi (P),1820
2012,Kona,Fræðslustarfsemi (P),1900
2013,Kona,Fræðslustarfsemi (P),1960
2014,Kona,Fræðslustarfsemi (P),2170
2015,Kona,Fræðslustarfsemi (P),2290
2016,Kona,Fræðslustarfsemi (P),2560
2017,Kona,Fræðslustarfsemi (P),2750
2018,Kona,Fræðslustarfsemi (P),2890
2019,Kona,Fræðslustarfsemi (P),2900
2020,Kona,Fræðslustarfsemi (P),3160
2008,Karl,Heilbrigðis- og félagsþjónusta (Q),2130
2009,Karl,Heilbrigðis- og félagsþjónusta (Q),2150
2010,Karl,Heilbrigðis- og félagsþjónusta (Q),2130
2011,Karl,Heilbrigðis- og félagsþjónusta (Q),2280
2012,Karl,Heilbrigðis- og félagsþjónusta (Q),2320
2013,Karl,Heilbrigðis- og félagsþjónusta (Q),2370
2014,Karl,Heilbrigðis- og félagsþjónusta (Q),2590
2015,Karl,Heilbrigðis- og félagsþjónusta (Q),2850
2016,Karl,Heilbrigðis- og félagsþjónusta (Q),3250
2017,Karl,Heilbrigðis- og félagsþjónusta (Q),3450
2018,Karl,Heilbrigðis- og félagsþjónusta (Q),3540
2019,Karl,Heilbrigðis- og félagsþjónusta (Q),3510
2020,Karl,Heilbrigðis- og félagsþjónusta (Q),3770
2008,Kona,Heilbrigðis- og félagsþjónusta (Q),1730
2009,Kona,Heilbrigðis- og félagsþjónusta (Q),1800
2010,Kona,Heilbrigðis- og félagsþjónusta (Q),1840
2011,Kona,Heilbrigðis- og félagsþjónusta (Q),1960
2012,Kona,Heilbrigðis- og félagsþjónusta (Q),1990
2013,Kona,Heilbrigðis- og félagsþjónusta (Q),2100
2014,Kona,Heilbrigðis- og félagsþjónusta (Q),2320
2015,Kona,Heilbrigðis- og félagsþjónusta (Q),2500
2016,Kona,Heilbrigðis- og félagsþjónusta (Q),2840
2017,Kona,Heilbrigðis- og félagsþjónusta (Q),3000
2018,Kona,Heilbrigðis- og félagsþjónusta (Q),3170
2019,Kona,Heilbrigðis- og félagsþjónusta (Q),3180
2020,Kona,Heilbrigðis- og félagsþjónusta (Q),3540
2008,Karl,Stjórnendur (1),3960
2009,Karl,Stjórnendur (1),3900
2010,Karl,Stjórnendur (1),3990
2011,Karl,Stjórnendur (1),4250
2012,Karl,Stjórnendur (1),4440
2013,Karl,Stjórnendur (1),4960
2014,Karl,Stjórnendur (1),5160
2015,Karl,Stjórnendur (1),5500
2016,Karl,Stjórnendur (1),6140
2017,Karl,Stjórnendur (1),6610
2018,Karl,Stjórnendur (1),6630
2019,Karl,Stjórnendur (1),6820
2020,Karl,Stjórnendur (1),7130
2008,Kona,Stjórnendur (1),2770
2009,Kona,Stjórnendur (1),2910
2010,Kona,Stjórnendur (1),3030
2011,Kona,Stjórnendur (1),3230
2012,Kona,Stjórnendur (1),3410
2013,Kona,Stjórnendur (1),3660
2014,Kona,Stjórnendur (1),4030
2015,Kona,Stjórnendur (1),4300
2016,Kona,Stjórnendur (1),4850
2017,Kona,Stjórnendur (1),5230
2018,Kona,Stjórnendur (1),5220
2019,Kona,Stjórnendur (1),5460
2020,Kona,Stjórnendur (1),5850
2008,Karl,Sérfræðingar (2),2800
2009,Karl,Sérfræðingar (2),2710
2010,Karl,Sérfræðingar (2),2780
2011,Karl,Sérfræðingar (2),2960
2012,Karl,Sérfræðingar (2),3110
2013,Karl,Sérfræðingar (2),3300
2014,Karl,Sérfræðingar (2),3470
2015,Karl,Sérfræðingar (2),3730
2016,Karl,Sérfræðingar (2),4100
2017,Karl,Sérfræðingar (2),4310
2018,Karl,Sérfræðingar (2),4550
2019,Karl,Sérfræðingar (2),4660
2020,Karl,Sérfræðingar (2),4840
2008,Kona,Sérfræðingar (2),2150
2009,Kona,Sérfræðingar (2),2170
2010,Kona,Sérfræðingar (2),2210
2011,Kona,Sérfræðingar (2),2330
2012,Kona,Sérfræðingar (2),2410
