Year,Aldur,Kyn,Þjóðerni,Value
2005,Alls,Kona,Íslenskt,68.06930693
2006,Alls,Kona,Íslenskt,66.08951708
2007,Alls,Kona,Íslenskt,63.87042254
2008,Alls,Kona,Íslenskt,62.31714126
2009,Alls,Kona,Íslenskt,61.99404762
2010,Alls,Kona,Íslenskt,60.53166069
2011,Alls,Kona,Íslenskt,56.03345281
2012,Alls,Kona,Íslenskt,54.19278533
2013,Alls,Kona,Íslenskt,52.60571429
2014,Alls,Kona,Íslenskt,52.215973
2015,Alls,Kona,Íslenskt,50.0
2016,Alls,Kona,Íslenskt,48.62539349
2017,Alls,Kona,Íslenskt,48.43298969
